Word	Length	# vowels	is number
[PAD]	5	0	False
[unused0]	9	3	False
[unused1]	9	3	False
[unused2]	9	3	False
[unused3]	9	3	False
[unused4]	9	3	False
[unused5]	9	3	False
[unused6]	9	3	False
[unused7]	9	3	False
[unused8]	9	3	False
[unused9]	9	3	False
[unused10]	10	3	False
[unused11]	10	3	False
[unused12]	10	3	False
[unused13]	10	3	False
[unused14]	10	3	False
[unused15]	10	3	False
[unused16]	10	3	False
[unused17]	10	3	False
[unused18]	10	3	False
[unused19]	10	3	False
[unused20]	10	3	False
[unused21]	10	3	False
[unused22]	10	3	False
[unused23]	10	3	False
[unused24]	10	3	False
[unused25]	10	3	False
[unused26]	10	3	False
[unused27]	10	3	False
[unused28]	10	3	False
[unused29]	10	3	False
[unused30]	10	3	False
[unused31]	10	3	False
[unused32]	10	3	False
[unused33]	10	3	False
[unused34]	10	3	False
[unused35]	10	3	False
[unused36]	10	3	False
[unused37]	10	3	False
[unused38]	10	3	False
[unused39]	10	3	False
[unused40]	10	3	False
[unused41]	10	3	False
[unused42]	10	3	False
[unused43]	10	3	False
[unused44]	10	3	False
[unused45]	10	3	False
[unused46]	10	3	False
[unused47]	10	3	False
[unused48]	10	3	False
[unused49]	10	3	False
[unused50]	10	3	False
[unused51]	10	3	False
[unused52]	10	3	False
[unused53]	10	3	False
[unused54]	10	3	False
[unused55]	10	3	False
[unused56]	10	3	False
[unused57]	10	3	False
[unused58]	10	3	False
[unused59]	10	3	False
[unused60]	10	3	False
[unused61]	10	3	False
[unused62]	10	3	False
[unused63]	10	3	False
[unused64]	10	3	False
[unused65]	10	3	False
[unused66]	10	3	False
[unused67]	10	3	False
[unused68]	10	3	False
[unused69]	10	3	False
[unused70]	10	3	False
[unused71]	10	3	False
[unused72]	10	3	False
[unused73]	10	3	False
[unused74]	10	3	False
[unused75]	10	3	False
[unused76]	10	3	False
[unused77]	10	3	False
[unused78]	10	3	False
[unused79]	10	3	False
[unused80]	10	3	False
[unused81]	10	3	False
[unused82]	10	3	False
[unused83]	10	3	False
[unused84]	10	3	False
[unused85]	10	3	False
[unused86]	10	3	False
[unused87]	10	3	False
[unused88]	10	3	False
[unused89]	10	3	False
[unused90]	10	3	False
[unused91]	10	3	False
[unused92]	10	3	False
[unused93]	10	3	False
[unused94]	10	3	False
[unused95]	10	3	False
[unused96]	10	3	False
[unused97]	10	3	False
[unused98]	10	3	False
[UNK]	5	0	False
[CLS]	5	0	False
[SEP]	5	0	False
[MASK]	6	0	False
[unused99]	10	3	False
[unused100]	11	3	False
[unused101]	11	3	False
[unused102]	11	3	False
[unused103]	11	3	False
[unused104]	11	3	False
[unused105]	11	3	False
[unused106]	11	3	False
[unused107]	11	3	False
[unused108]	11	3	False
[unused109]	11	3	False
[unused110]	11	3	False
[unused111]	11	3	False
[unused112]	11	3	False
[unused113]	11	3	False
[unused114]	11	3	False
[unused115]	11	3	False
[unused116]	11	3	False
[unused117]	11	3	False
[unused118]	11	3	False
[unused119]	11	3	False
[unused120]	11	3	False
[unused121]	11	3	False
[unused122]	11	3	False
[unused123]	11	3	False
[unused124]	11	3	False
[unused125]	11	3	False
[unused126]	11	3	False
[unused127]	11	3	False
[unused128]	11	3	False
[unused129]	11	3	False
[unused130]	11	3	False
[unused131]	11	3	False
[unused132]	11	3	False
[unused133]	11	3	False
[unused134]	11	3	False
[unused135]	11	3	False
[unused136]	11	3	False
[unused137]	11	3	False
[unused138]	11	3	False
[unused139]	11	3	False
[unused140]	11	3	False
[unused141]	11	3	False
[unused142]	11	3	False
[unused143]	11	3	False
[unused144]	11	3	False
[unused145]	11	3	False
[unused146]	11	3	False
[unused147]	11	3	False
[unused148]	11	3	False
[unused149]	11	3	False
[unused150]	11	3	False
[unused151]	11	3	False
[unused152]	11	3	False
[unused153]	11	3	False
[unused154]	11	3	False
[unused155]	11	3	False
[unused156]	11	3	False
[unused157]	11	3	False
[unused158]	11	3	False
[unused159]	11	3	False
[unused160]	11	3	False
[unused161]	11	3	False
[unused162]	11	3	False
[unused163]	11	3	False
[unused164]	11	3	False
[unused165]	11	3	False
[unused166]	11	3	False
[unused167]	11	3	False
[unused168]	11	3	False
[unused169]	11	3	False
[unused170]	11	3	False
[unused171]	11	3	False
[unused172]	11	3	False
[unused173]	11	3	False
[unused174]	11	3	False
[unused175]	11	3	False
[unused176]	11	3	False
[unused177]	11	3	False
